Customer ID,first_purchase,last_purchase,num_invoices,total_quantity,monetary,distinct_products,recency_days,frequency,avg_basket_value,avg_qty_per_invoice,kmeans_cluster,agg_cluster,dbscan_cluster,kmeans_label
12346,2009-12-14 08:34:00,2011-01-18 10:01:00,12,74285,77556.46,27,326,12,6463.038333333334,6190.416666666667,3,2,-1,Cluster 3
12347,2010-10-31 14:20:00,2011-12-07 15:52:00,8,2967,4921.53,126,2,8,615.19125,370.875,1,0,0,Cluster 1
12348,2010-09-27 14:59:00,2011-09-25 13:13:00,5,2714,2019.4,25,75,5,403.88,542.8,3,2,0,Cluster 3
12349,2010-04-29 13:20:00,2011-11-21 09:51:00,4,1624,4428.69,138,19,4,1107.1725,406.0,3,0,0,Cluster 3
12350,2011-02-02 16:01:00,2011-02-02 16:01:00,1,197,334.4,17,310,1,334.4,197.0,2,1,0,Cluster 2
12351,2010-11-29 15:23:00,2010-11-29 15:23:00,1,261,300.93,21,375,1,300.93,261.0,0,1,0,Cluster 0
12352,2010-11-12 10:20:00,2011-11-03 14:37:00,10,724,2849.84,70,36,10,284.98400000000004,72.4,2,0,0,Cluster 2
12353,2010-10-27 12:44:00,2011-05-19 17:47:00,2,212,406.76,23,204,2,203.38,106.0,0,3,0,Cluster 0
12354,2011-04-21 13:11:00,2011-04-21 13:11:00,1,530,1079.4,58,232,1,1079.4,530.0,3,2,0,Cluster 3
12355,2010-05-21 11:59:00,2011-05-09 13:49:00,2,543,947.61,35,214,2,473.805,271.5,3,1,0,Cluster 3
12356,2010-10-11 09:42:00,2011-11-17 08:40:00,6,3416,6371.73,104,23,6,1061.955,569.3333333333334,3,2,0,Cluster 3
12357,2010-11-16 10:05:00,2011-11-06 16:07:00,3,6587,18287.66,261,33,3,6095.886666666666,2195.6666666666665,1,0,-1,Cluster 1
12358,2009-12-08 07:59:00,2011-12-08 10:26:00,5,1079,3887.07,56,2,5,777.414,215.8,3,0,0,Cluster 3
12359,2009-12-05 13:32:00,2011-10-13 12:47:00,10,2739,8873.39,305,58,10,887.3389999999999,273.9,1,0,0,Cluster 1
12360,2010-02-22 09:32:00,2011-10-18 15:22:00,8,2459,4252.89,160,52,8,531.61125,307.375,1,0,0,Cluster 1
12361,2010-01-26 14:37:00,2011-02-25 13:51:00,4,235,511.25,18,287,4,127.8125,58.75,0,3,0,Cluster 0
12362,2009-12-01 10:10:00,2011-12-06 15:40:00,11,2230,5356.23,201,3,11,486.92999999999995,202.72727272727272,1,0,0,Cluster 1
12363,2011-04-11 13:29:00,2011-08-22 10:18:00,2,408,552.0,23,110,2,276.0,204.0,2,1,0,Cluster 2
12364,2011-08-19 15:24:00,2011-12-02 10:22:00,4,1506,1313.1,70,8,4,328.275,376.5,3,2,0,Cluster 3
12365,2011-02-21 13:51:00,2011-02-21 14:04:00,2,174,641.38,22,291,2,320.69,87.0,2,3,0,Cluster 2
12366,2010-03-16 10:28:00,2010-03-16 10:28:00,1,296,500.24,3,634,1,500.24,296.0,3,2,0,Cluster 3
12367,2011-12-05 16:48:00,2011-12-05 16:48:00,1,173,168.9,11,4,1,168.9,173.0,0,3,0,Cluster 0
12368,2010-03-21 15:56:00,2010-03-21 15:56:00,1,330,917.6999999999999,18,628,1,917.6999999999999,330.0,3,2,0,Cluster 3
12369,2010-03-08 08:09:00,2010-10-22 13:13:00,3,1241,1791.15,90,413,3,597.0500000000001,413.6666666666667,3,2,0,Cluster 3
12370,2010-02-09 09:41:00,2011-10-19 14:51:00,7,2604,4316.56,168,51,7,616.6514285714286,372.0,1,0,0,Cluster 1
12371,2010-03-04 18:23:00,2011-10-26 10:16:00,5,1436,4067.38,134,45,5,813.476,287.2,1,0,0,Cluster 1
12372,2011-02-16 12:46:00,2011-09-29 12:12:00,3,794,1298.04,34,72,3,432.68,264.6666666666667,2,2,0,Cluster 2
12373,2010-02-04 12:08:00,2011-02-01 13:10:00,3,516,1127.65,36,311,3,375.8833333333334,172.0,2,1,0,Cluster 2
12374,2010-04-30 14:01:00,2011-11-14 15:37:00,4,1362,2989.2200000000003,79,25,4,747.3050000000001,340.5,3,0,0,Cluster 3
12375,2011-09-02 14:23:00,2011-11-29 10:36:00,2,178,457.5,14,11,2,228.75,89.0,2,1,0,Cluster 2
12376,2010-10-18 08:42:00,2010-11-15 12:15:00,2,240,503.15,11,390,2,251.575,120.0,0,1,0,Cluster 0
12377,2010-04-29 15:34:00,2011-01-28 15:45:00,4,2105,3426.32,129,315,4,856.58,526.25,3,2,-1,Cluster 3
12378,2010-05-26 14:07:00,2011-08-02 10:34:00,2,3316,5416.32,281,130,2,2708.16,1658.0,3,0,0,Cluster 3
12379,2010-06-23 12:49:00,2011-09-19 10:09:00,4,815,1620.22,58,82,4,405.055,203.75,2,1,0,Cluster 2
12380,2010-02-15 12:05:00,2011-11-18 11:27:00,11,3355,9676.300000000001,156,22,11,879.6636363636364,305.0,1,0,0,Cluster 1
12381,2011-08-12 09:57:00,2011-12-05 12:44:00,5,808,1845.31,70,5,5,369.062,161.6,2,1,0,Cluster 2
12383,2010-12-22 14:28:00,2011-06-08 08:02:00,5,1532,1850.56,84,185,5,370.11199999999997,306.4,3,0,0,Cluster 3
12384,2011-08-10 11:23:00,2011-11-11 08:39:00,2,126,585.27,26,29,2,292.635,63.0,2,1,0,Cluster 2
12385,2010-11-25 15:14:00,2010-11-25 15:14:00,1,612,1938.4,65,379,1,1938.4,612.0,3,2,0,Cluster 3
12386,2010-12-08 09:53:00,2011-01-06 12:37:00,2,354,401.9,10,338,2,200.95,177.0,0,3,0,Cluster 0
12387,2010-10-20 16:27:00,2010-10-20 16:27:00,1,134,143.94,9,415,1,143.94,134.0,0,3,0,Cluster 0
12388,2010-05-06 12:54:00,2011-11-24 12:30:00,8,2001,3901.11,83,16,8,487.63875,250.125,2,0,0,Cluster 2
12389,2010-02-22 10:15:00,2010-11-02 11:52:00,3,614,1433.33,41,403,3,477.77666666666664,204.66666666666666,2,2,0,Cluster 2
12390,2011-09-21 09:33:00,2011-09-21 09:33:00,1,353,549.84,32,80,1,549.84,353.0,3,2,0,Cluster 3
12391,2010-02-15 10:12:00,2011-11-18 12:07:00,6,1204,2724.84,241,22,6,454.14000000000004,200.66666666666666,1,0,0,Cluster 1
12392,2010-04-27 14:04:00,2010-04-27 14:04:00,1,73,234.75000000000003,7,591,1,234.75000000000003,73.0,0,3,0,Cluster 0
12393,2010-10-07 13:49:00,2011-09-28 15:41:00,6,1311,2399.4500000000003,63,72,6,399.90833333333336,218.5,2,1,0,Cluster 2
12394,2011-05-06 14:01:00,2011-10-07 08:08:00,2,819,1272.48,26,64,2,636.24,409.5,3,2,0,Cluster 3
12395,2010-04-16 10:16:00,2011-11-20 15:21:00,15,3205,4721.17,145,19,15,314.74466666666666,213.66666666666666,1,0,0,Cluster 1
12396,2010-02-03 13:22:00,2010-02-03 13:22:00,1,591,931.43,65,674,1,931.43,591.0,3,2,0,Cluster 3
12397,2011-07-27 14:21:00,2011-11-04 09:52:00,2,1263,2409.9,110,36,2,1204.95,631.5,3,2,0,Cluster 3
12398,2011-10-25 10:27:00,2011-10-25 10:27:00,1,1394,1635.6599999999999,85,46,1,1635.6599999999999,1394.0,3,2,0,Cluster 3
12399,2010-03-05 08:45:00,2011-08-12 13:15:00,7,2198,1962.3,67,119,7,280.3285714285714,314.0,2,0,0,Cluster 2
12400,2010-10-21 13:45:00,2010-10-21 13:45:00,1,91,205.25,11,414,1,205.25,91.0,0,3,0,Cluster 0
12401,2011-02-09 13:50:00,2011-02-09 13:50:00,1,11,84.3,5,303,1,84.3,11.0,0,3,0,Cluster 0
12402,2010-02-07 12:41:00,2011-01-20 13:49:00,6,584,1256.9,43,323,6,209.48333333333335,97.33333333333333,2,1,0,Cluster 2
12403,2010-07-06 11:39:00,2011-10-21 10:51:00,2,260,1019.36,5,50,2,509.68,130.0,2,1,0,Cluster 2
12404,2010-01-26 16:25:00,2010-01-26 16:25:00,1,1,63.24,1,682,1,63.24,1.0,0,3,0,Cluster 0
12405,2011-07-14 08:52:00,2011-07-14 08:52:00,1,857,1710.39,54,149,1,1710.39,857.0,3,2,0,Cluster 3
12406,2010-01-11 14:04:00,2011-11-17 19:22:00,5,3416,6390.36,114,22,5,1278.072,683.2,3,2,0,Cluster 3
12407,2011-03-20 13:21:00,2011-10-21 10:11:00,5,1416,1708.1200000000001,57,50,5,341.624,283.2,2,0,0,Cluster 2
12408,2010-07-29 13:27:00,2011-11-07 12:27:00,8,2229,4340.7699999999995,104,33,8,542.5962499999999,278.625,1,0,0,Cluster 1
12409,2010-05-23 15:21:00,2011-09-22 10:38:00,7,13143,23419.29,177,79,7,3345.612857142857,1877.5714285714287,3,0,0,Cluster 3
12410,2010-07-25 13:26:00,2011-02-04 10:39:00,3,341,1013.71,36,309,3,337.90333333333336,113.66666666666667,2,1,0,Cluster 2
12411,2010-10-26 09:25:00,2010-10-26 09:25:00,1,138,346.9,22,410,1,346.9,138.0,0,1,0,Cluster 0
12412,2010-06-18 13:22:00,2011-09-26 10:16:00,6,1997,2596.93,82,75,6,432.82166666666666,332.8333333333333,3,0,0,Cluster 3
12413,2010-11-02 13:26:00,2011-10-04 09:00:00,4,319,999.45,41,67,4,249.8625,79.75,2,1,0,Cluster 2
12414,2010-09-02 12:22:00,2011-05-06 14:51:00,6,495,952.41,21,217,6,158.73499999999999,82.5,2,3,0,Cluster 2
12415,2010-06-30 08:30:00,2011-11-15 14:22:00,28,91447,144458.37,498,24,28,5159.2275,3265.964285714286,1,0,0,Cluster 1
12416,2010-02-21 10:19:00,2010-02-21 10:19:00,1,132,202.56,11,657,1,202.56,132.0,0,1,0,Cluster 0
12417,2009-12-06 10:30:00,2011-12-06 14:52:00,20,2884,6797.41,270,3,20,339.8705,144.2,1,0,0,Cluster 1
12418,2010-03-19 14:47:00,2011-08-19 11:08:00,4,1088,2021.2,90,113,4,505.3,272.0,3,0,0,Cluster 3
12419,2010-10-22 10:40:00,2010-11-19 10:04:00,2,231,503.01,23,386,2,251.505,115.5,0,3,0,Cluster 0
12420,2011-10-07 08:55:00,2011-10-07 08:55:00,1,345,600.39,29,64,1,600.39,345.0,3,2,0,Cluster 3
12421,2010-07-22 13:57:00,2011-11-24 09:07:00,6,652,1098.6,44,16,6,183.1,108.66666666666667,2,1,0,Cluster 2
12422,2009-12-18 12:44:00,2011-09-05 09:48:00,17,2596,5231.8,137,96,17,307.7529411764706,152.7058823529412,1,0,0,Cluster 1
12423,2010-08-31 09:31:00,2011-12-09 10:10:00,10,1793,2622.39,128,1,10,262.239,179.3,1,0,0,Cluster 1
12424,2010-06-09 15:15:00,2011-06-30 12:06:00,4,2025,3340.03,78,163,4,835.0075,506.25,3,2,0,Cluster 3
12425,2010-09-17 14:10:00,2011-09-22 17:31:00,2,1147,1741.41,87,78,2,870.705,573.5,3,2,0,Cluster 3
12426,2010-02-15 08:41:00,2011-05-29 12:26:00,2,584,1345.21,73,195,2,672.605,292.0,3,0,0,Cluster 3
12427,2010-12-03 10:44:00,2011-11-18 08:56:00,3,533,825.8,26,22,3,275.26666666666665,177.66666666666666,2,1,0,Cluster 2
12428,2011-03-01 09:33:00,2011-11-14 08:22:00,9,3536,7956.46,258,26,9,884.0511111111111,392.8888888888889,1,0,0,Cluster 1
12429,2010-06-11 13:28:00,2011-11-30 17:22:00,8,2890,6204.41,124,9,8,775.55125,361.25,3,0,0,Cluster 3
12430,2011-10-27 15:09:00,2011-10-27 15:09:00,1,117,256.4,11,43,1,256.4,117.0,0,3,0,Cluster 0
12431,2010-01-15 09:04:00,2011-11-04 11:55:00,27,4600,10432.22,244,36,27,386.3785185185185,170.37037037037038,1,0,0,Cluster 1
